,md_iteration,ediff,fmax,frmse,action,new_interval
0,15,0.00178780,2.11175678,0.37597043,DECREASE,10
1,25,0.00236326,1.73870417,0.28886312,INCREASE,13
2,38,0.00413502,1.67244827,0.34787176,DECREASE,10
3,48,0.00176505,0.92504449,0.24919737,INCREASE,13
4,61,0.00095949,1.14128128,0.26073091,INCREASE,16
5,77,0.00235607,0.78811932,0.25706135,INCREASE,20
6,97,0.00012234,1.00131001,0.26984926,INCREASE,26
7,123,0.00624742,1.11311744,0.28003055,DECREASE,20
8,143,0.00107626,0.87708869,0.23082188,INCREASE,26
9,169,0.00295790,3.30757198,0.34008713,DECREASE,20
10,189,0.00039980,0.61164304,0.21614724,INCREASE,26
11,215,0.00161572,0.83089555,0.24859252,INCREASE,33
12,248,0.00154243,0.73816241,0.22100740,INCREASE,42
13,290,0.00259050,0.63167754,0.20121232,INCREASE,54
14,344,0.00153693,0.80200767,0.23470579,INCREASE,70
15,414,0.00063057,0.67756194,0.20572520,INCREASE,91
16,505,0.00375624,1.11389321,0.28274936,INCREASE,118
17,623,0.00362080,1.40194638,0.28027887,INCREASE,153
18,776,0.00192090,1.45061161,0.24031542,INCREASE,198
19,974,0.00267983,1.04629223,0.24709517,INCREASE,257
20,1231,0.00119837,0.75287746,0.21205383,INCREASE,334
21,1565,0.00355763,0.58610710,0.18011180,INCREASE,434
22,1999,0.00338102,0.78427187,0.19282761,INCREASE,564
23,2563,0.00417040,1.23135232,0.21914484,INCREASE,733
24,3296,0.00104036,1.85067573,0.29099976,INCREASE,952
25,4248,0.00563179,1.69576351,0.33867828,DECREASE,732
26,4980,0.00299137,1.35038131,0.24508882,INCREASE,951
27,5931,0.00152491,0.86996977,0.15662979,INCREASE,1236
28,7167,0.00661164,0.88423457,0.25609511,DECREASE,950
29,8117,0.00132846,0.55731275,0.17293883,INCREASE,1235
30,9352,0.00130590,0.70857216,0.20749227,INCREASE,1605
31,10957,0.00044148,0.65477243,0.17522861,INCREASE,2086
32,13043,0.00198573,1.01127100,0.18504882,INCREASE,2711
33,15754,0.00116297,0.53628705,0.16328418,INCREASE,3524
34,19278,0.00242760,1.12591480,0.20020729,INCREASE,4581
35,23859,0.00503567,0.72437390,0.18123099,DECREASE,3523
36,27382,0.00096298,0.64820650,0.19235409,INCREASE,4579
37,31961,0.00065780,0.55366717,0.18070692,INCREASE,5000
38,36961,0.00339925,0.84390323,0.21724193,INCREASE,5000
39,41961,0.00223603,0.50751177,0.16091135,INCREASE,5000
40,46961,0.00037580,1.24159611,0.20365150,INCREASE,5000
41,51961,0.00137990,0.56244740,0.16667399,INCREASE,5000
42,56961,0.00032778,0.58790350,0.16487322,INCREASE,5000
43,61961,0.00230653,0.80033672,0.21169382,INCREASE,5000
44,66961,0.00007627,0.64317857,0.17513032,INCREASE,5000
45,71961,0.00175598,0.64923211,0.17203651,INCREASE,5000
46,76961,0.00031025,0.66900809,0.18768274,INCREASE,5000
47,81961,0.00113646,0.58600932,0.16930418,INCREASE,5000
48,86961,0.00112293,0.66515146,0.21293118,INCREASE,5000
49,91961,0.00014044,0.68036942,0.18861008,INCREASE,5000
50,96961,0.00154239,0.63551672,0.16680348,INCREASE,5000
